X1,Colleague,Second Colleague,Source,Year,Authors,Title,Transplant Interaction,Multiple Levels of EcoReality?,Donor Taxon,Donor Taxon Details,Cultured?,Recipient Taxon,Recipient Taxon Details,Eco-Reality Taxon Match,Number of Treatment Groups,Number of Individuals per Group,DNA Extraction Method,Sequencing Approach,Eco-Reality of Donor Microbiome (1-3),Justification/Description for Donor Microbiome,Eco-Reality of Donor Environment (1-5),Justification/Description for Donor Environment,Eco-Reality of Donor Physiology (1-2),Justification/Description for Donor Physiology,Eco-Reality of Recipient Microbiome (1-5),Justification/Description for Recipient Microbiome,Eco-Reality of Recipient Environment (1-5),Justification/Description for Recipient Environment,Eco-Reality of Recipient Physiology (1-2),Justification/Description for Recipient Physiology,Eco-Reality of Transplant Method (1-2),Justification/Description for Transplant Method,Eco-Reality of Housing Method (1-2),Justification/Description for Housing Method,Microbial Response,Microbial Category,Physiological Response,Phys Category,Data Plots,Experiment Synopsis,Second Colleague Differences,X43
Miller2017,Karl,Chris,Web of Science,2017,"Miller, AW; Dale, C; Dearing, MD",The Induction of Oxalate Metabolism In Vivo Is More Effective with Functional Microbial Communities than with Functional Microbial Species,1,Y,human,NA,Yes,rat,Sprague-Dawley,Mismatch,2,6,QIAamp DNA stool minikit,"Fecal DNA was sent to Argonne National Laboratory (Chicago, IL) for sequencing of the V4 region of the 16S rRNA gene, using primers 515F and 806R (43). This gene is typically used in the identification of bacterial OTUs (44) and, when combined with high-throughput sequencing, results in an inventory of OTUs and their relative abundances (45). Barcodes with 12 bp were added to the amplified gene region and samples were multiplexed on a single-lane, MiSeq run with 150 paired-end sequencing",1,"(i) VSL#3, a probiotic developed to treat irritable bowel disorders and which also has some capacity to decrease urinary oxalate excretion in humans (25,–28);",1,"The first two preparations represent cultured subsets of oxalate-degrading bacteria isolated from human and N. albigula sources, respectively (Table 3),",1,strain,3,"For all other treatment groups, 24 female SDR were purchased (20 to 21 days old) from Harlan Laboratories (Denver, CO). The SDR were cohoused five to a cage and fed standard rat chow for 45 days prior to experimentation. All methods were approved by the IACUC under protocol 12-12010.",2,"Animals were placed in metabolic cages for the duration of the diet trial to separate urine and feces and to allow quantification of food and water intake, which was given ad libitum.",2,Not Specified,2,"From the pelleted bacteria of each preparation, 38 mg was added directly to the food, which was chosen based on previous studies that used O. formigenes probiotics for rodents",1,Animals were placed in metabolic cages for the duration of the diet trial,fig 2,Beta Diversity,fig 1,Metabolism + physical category,Figure 2,"While all transplants elicited a significant reduction in oxalate ex-cretion initially, the greatest effect was seen with fecal microbial transplants, which persisted even in the absence of dietary oxalate. The reduction in oxalate excretion in animals given fecal transplants corresponded with the establishment of diverse bacteria, including known oxalate-degrading bacteria and a cohesive network of bacteria centered on oxalate-degrading specialists from the Oxalobacteraceae family. Results suggested that the administration of a complete community of bacteria facil-itates a cohesive balance in terms of microbial interactions.",Donor Taxon – Cell Culture. Donor Environment and Physiology – NA,NA
Miller2017,Karl,Chris - same study,Web of Science,2017,"Miller, AW; Dale, C; Dearing, MD",The Induction of Oxalate Metabolism In Vivo Is More Effective with Functional Microbial Communities than with Functional Microbial Species,2,Y,white-throated woodrat,Neotoma albigula,Yes,rat,Sprague-Dawley,Mismatch,2,6,QIAamp DNA stool minikit,"Fecal DNA was sent to Argonne National Laboratory (Chicago, IL) for sequencing of the V4 region of the 16S rRNA gene, using primers 515F and 806R (43). This gene is typically used in the identification of bacterial OTUs (44) and, when combined with high-throughput sequencing, results in an inventory of OTUs and their relative abundances (45). Barcodes with 12 bp were added to the amplified gene region and samples were multiplexed on a single-lane, MiSeq run with 150 paired-end sequencing",2,"NA bacteria, which are cultured oxalate-degrading bacteria that were previously isolated from the white-throated woodrat, N. albigula",1,"The first two preparations represent cultured subsets of oxalate-degrading bacteria isolated from human and N. albigula sources, respectively (Table 3),",1,strain,3,"For all other treatment groups, 24 female SDR were purchased (20 to 21 days old) from Harlan Laboratories (Denver, CO). The SDR were cohoused five to a cage and fed standard rat chow for 45 days prior to experimentation. All methods were approved by the IACUC under protocol 12-12010.",2,"Animals were placed in metabolic cages for the duration of the diet trial to separate urine and feces and to allow quantification of food and water intake, which was given ad libitum.",2,Not Specified,2,"From the pelleted bacteria of each preparation, 38 mg was added directly to the food, which was chosen based on previous studies that used O. formigenes probiotics for rodents",1,Animals were placed in metabolic cages for the duration of the diet trial,fig 2,Beta Diversity,fig 1,Metabolism + physical category,Figure 2,"While all transplants elicited a significant reduction in oxalate ex-cretion initially, the greatest effect was seen with fecal microbial transplants, which persisted even in the absence of dietary oxalate. The reduction in oxalate excretion in animals given fecal transplants corresponded with the establishment of diverse bacteria, including known oxalate-degrading bacteria and a cohesive network of bacteria centered on oxalate-degrading specialists from the Oxalobacteraceae family. Results suggested that the administration of a complete community of bacteria facil-itates a cohesive balance in terms of microbial interactions.",Donor Taxon – Cell Culture. Donor Environment and Physiology – NA,NA
Miller2017,Karl,Chris - same study - same study,Web of Science,2017,"Miller, AW; Dale, C; Dearing, MD",The Induction of Oxalate Metabolism In Vivo Is More Effective with Functional Microbial Communities than with Functional Microbial Species,3,Y,white-throated woodrat,Neotoma albigula,No,rat,Sprague-Dawley,Mismatch,2,6,QIAamp DNA stool minikit,"Fecal DNA was sent to Argonne National Laboratory (Chicago, IL) for sequencing of the V4 region of the 16S rRNA gene, using primers 515F and 806R (43). This gene is typically used in the identification of bacterial OTUs (44) and, when combined with high-throughput sequencing, results in an inventory of OTUs and their relative abundances (45). Barcodes with 12 bp were added to the amplified gene region and samples were multiplexed on a single-lane, MiSeq run with 150 paired-end sequencing",3,"N. albigula rats were collected from Castle Valley, UT (38.63°N, 109.41°W) in September 2014 by using Sherman live traps. Animals were transported to the animal facility at the University of Utah and maintained in individual cages (48 by 27 by 20 cm) and fed a 0.2% oxalate, high-fiber rabbit chow diet (Harlan Teklad formula 2031) for 30 days at 28°C and 20% humidity prior to experimentation. These animals were used as a positive controls and fecal donors.",4,"N. albigula rats were collected from Castle Valley, UT (38.63°N, 109.41°W) in September 2014 by using Sherman live traps. Animals were transported to the animal facility at the University of Utah and maintained in individual cages (48 by 27 by 20 cm) and fed a 0.2% oxalate, high-fiber rabbit chow diet (Harlan Teklad formula 2031) for 30 days at 28°C and 20% humidity prior to experimentation. These animals were used as a positive controls and fecal donors.",2,wild-type,3,"For all other treatment groups, 24 female SDR were purchased (20 to 21 days old) from Harlan Laboratories (Denver, CO). The SDR were cohoused five to a cage and fed standard rat chow for 45 days prior to experimentation. All methods were approved by the IACUC under protocol 12-12010.",2,"Animals were placed in metabolic cages for the duration of the diet trial to separate urine and feces and to allow quantification of food and water intake, which was given ad libitum.",2,Not Specified,2,"From the pelleted bacteria of each preparation, 38 mg was added directly to the food, which was chosen based on previous studies that used O. formigenes probiotics for rodents",1,Animals were placed in metabolic cages for the duration of the diet trial,fig 2,Beta Diversity,fig 1,Metabolism + physical category,Figure 2,"While all transplants elicited a significant reduction in oxalate ex-cretion initially, the greatest effect was seen with fecal microbial transplants, which persisted even in the absence of dietary oxalate. The reduction in oxalate excretion in animals given fecal transplants corresponded with the establishment of diverse bacteria, including known oxalate-degrading bacteria and a cohesive network of bacteria centered on oxalate-degrading specialists from the Oxalobacteraceae family. Results suggested that the administration of a complete community of bacteria facil-itates a cohesive balance in terms of microbial interactions.",NA,NA
Schmidt2017,Karl,Tim,Web of Science,2017,"Schmidt, V; Gomez-Chiarri, M; Roy, C; Smith, K; Amaral-Zettler, L",Subtle Microbiome Manipulation Using Probiotics Reduces Antibiotic-Associated Mortality in Fish,1,Y,bacterial strain,"We prepared
daily cultures of the probiotic bacterial strains P. inhibens S4Sm and B. pumilus RI06-95Sm in Luria-Bertani
broth containing 1.5 mg/liter streptomycin and 2% NaCl.",yes,black molly,"We purchased P. sphenops black mollies of between
20 and 30 mm in length from a wholesale supplier",Mismatch,1,NA,"We collected each dead fish as described above
immediately after it was discovered (and never more than 12 h later) and euthanized all remaining fish
after 48 days as outlined above. We extracted genomic DNA (gDNA) according to the method described
by Schmidt et al. (16) by rinsing and homogenizing the undissected fish carcass. Homogenizing the
entire fish was done to potentially capture a systemic effect of the probiotic exposure and pathogen
challenge (45).","We sequenced the V6 hypervariable region of the bacterial 16S rRNA gene using a custom 2-step “fusion primer” PCR amplification. First, we performed an initial 20-cycle PCR in triplicate using a cocktail of standard forward and reverse universal bacterial primers (967F and 1064R); we then amplified this product in a second 10-cycle PCR using primers with Illumina HiSeq adaptors and barcodes attached to their 5= end. Our fusion PCR protocols and primer sequences are further explained elsewhere",2,We prepared daily cultures of the probiotic bacterial strains P. inhibens S4Sm and B. pumilus RI06-95Sm in Luria-Bertani broth containing 1.5 mg/liter streptomycin and 2% NaCl,NS,specific strains,ns,specific strains,3,"Treatment A: We purchased P. sphenops black mollies of between 20 and 30 mm in length from a wholesale supplier (PetSolutions, Beavercreek, OH) that maintained fish at between 0.0 ppt and 2.0 ppt in mixed-species aquaria.",2,"selected all fish of similar sizes and placed them into four treatment environments, each consisting of three replicate 125-liter tanks with six, seven, or eight fish in each tank",2,Not Specified,2,"We administered antibiotics (streptomycin sulfate; final concentration of 200 g/ml) by removing fish from tanks and placing them in buckets for 90 to 120 min with 1.5 liters of sterile seawater aerated with in-line air pumps. Streptomycin was chosen as the antibiotic because our probiotic and pathogen cultures had been selected for streptomycin resistance (31, 32). Fresh stocks of streptomycin sulfate solution were prepared every other day and diluted directly into bucket water before each administration. We fed fish TetraMin (API, Blacksburg, VA) tropical fish feed during antibiotic administrations in an attempt to facilitate antibiotic ingestion. After antibiotic administration, we rinsed fish in filtered-sterile seawater and placed them back into their respective tanks. Probiotics and pathogens were administered in a similar fashion, adding 1  105 CFU/ml final concentrations of P. inhibens S4Sm and B. pumilus RI06-95Sm to the water of each bucket.",2,"into four treatment environments, each consisting of three replicate 125-liter tanks with six, seven, or eight fish in each tank","fig 5, supl fig 1",alpha and beta diversity,"fig 1, 2",Survival,Figure 5,fig 6,NA,NA
Schmidt2017,Karl,Tim,Web of Science,2017,"Schmidt, V; Gomez-Chiarri, M; Roy, C; Smith, K; Amaral-Zettler, L",Subtle Microbiome Manipulation Using Probiotics Reduces Antibiotic-Associated Mortality in Fish,2,Y,bacterial strain,"We prepared
daily cultures of the probiotic bacterial strains P. inhibens S4Sm and B. pumilus RI06-95Sm in Luria-Bertani
broth containing 1.5 mg/liter streptomycin and 2% NaCl.",yes,black molly,"We purchased P. sphenops black mollies of between
20 and 30 mm in length from a wholesale supplier",Mismatch,1,NA,"We collected each dead fish as described above
immediately after it was discovered (and never more than 12 h later) and euthanized all remaining fish
after 48 days as outlined above. We extracted genomic DNA (gDNA) according to the method described
by Schmidt et al. (16) by rinsing and homogenizing the undissected fish carcass. Homogenizing the
entire fish was done to potentially capture a systemic effect of the probiotic exposure and pathogen
challenge (45).","We sequenced the V6 hypervariable region of the bacterial 16S rRNA gene using a custom 2-step “fusion primer” PCR amplification. First, we performed an initial 20-cycle PCR in triplicate using a cocktail of standard forward and reverse universal bacterial primers (967F and 1064R); we then amplified this product in a second 10-cycle PCR using primers with Illumina HiSeq adaptors and barcodes attached to their 5= end. Our fusion PCR protocols and primer sequences are further explained elsewhere",2,We prepared daily cultures of the probiotic bacterial strains P. inhibens S4Sm and B. pumilus RI06-95Sm in Luria-Bertani broth containing 1.5 mg/liter streptomycin and 2% NaCl,ns,specific strains,ns,specific strains,2,"Treatment C: We administered antibiotics (streptomycin
sulfate; final concentration of 200 !g/ml) by removing fish from tanks and placing them in buckets for
90 to 120 min with 1.5 liters of sterile seawater aerated with in-line air pumps.",2,"selected all fish of similar sizes and placed them into four treatment environments, each consisting of three replicate 125-liter tanks with six, seven, or eight fish in each tank",2,Not Specified,2,"We administered antibiotics (streptomycin sulfate; final concentration of 200 g/ml) by removing fish from tanks and placing them in buckets for 90 to 120 min with 1.5 liters of sterile seawater aerated with in-line air pumps. Streptomycin was chosen as the antibiotic because our probiotic and pathogen cultures had been selected for streptomycin resistance (31, 32). Fresh stocks of streptomycin sulfate solution were prepared every other day and diluted directly into bucket water before each administration. We fed fish TetraMin (API, Blacksburg, VA) tropical fish feed during antibiotic administrations in an attempt to facilitate antibiotic ingestion. After antibiotic administration, we rinsed fish in filtered-sterile seawater and placed them back into their respective tanks. Probiotics and pathogens were administered in a similar fashion, adding 1  105 CFU/ml final concentrations of P. inhibens S4Sm and B. pumilus RI06-95Sm to the water of each bucket.",2,"into four treatment environments, each consisting of three replicate 125-liter tanks with six, seven, or eight fish in each tank","fig 5, supl fig 1",alpha and beta diversity,"fig 1, 2",Survival,Figure 5,fig 6,NA,NA
Warne2017,Karl,Will,Web of Science,2017,"Warne, RW; Kirschman, L; Zeglin, L",Manipulation of Gut Microbiota Reveals Shifting Community Structure Shaped by Host Developmental Windows in Amphibian Larvae,1,Y,wood frog,NA,NA,green frog,NA,Mismatch,3,75-100,"
DNA was extracted from the dissected intestines following the Puregene DNA extraction protocol",Illumina MiSeq v4 16S rRNA,3,"For cross-species inoculation, intestinal tracts of donor species were dissected from three larvae, homogenized and added to the respective jars. Wood frog guts were obtained from larvae hatched and reared in the lab (i.e., the ontogenetic stock tank), while bullfrog guts were obtained from wild-caught larvae.",4,"We collected wood frog and green frog egg masses, as well as bullfrog larvae (as an inoculate source) from local wetlands, by permit from the Illinois Department of Natural Resources",2,ns,1,"First, we sterilized egg masses using a protocol adapted from Rendueles etal. (2012) designed for generating gnotobiotic zebrafish from eggs. Egg masses were separated into sterile centrifuge tubes with 40?mL",1,"Hatched, free-swimming larvae were allowed to feed on the inoculated egg jelly for 2 days, after which they were transferred to autoclaved, plastic containers with 20 L of carbon- and UV filtered water (four containers per treatment).",2,"We collected wood frog and green frog egg masses,
as well as bullfrog larvae (as an inoculate source)
from local wetlands, by permit from the Illinois",2,"Hatched, free-swimming larvae were allowed to feed on the inoculated egg jelly for 2 days,",2,"For controls, eggs from the focal species were homo-genized and added to each jar.",fig1,Beta Diversity + relative abundance of phyla,none measured,NA,fig 1,"we demonstrated that microbiota can be transplanted among species and developmental stages. These results also demonstrated that microbial colonization at hatching is potentially formative for long term composition and function of amphibian gut microbiomes, suggesting that hatching may be a critical developmental window for colonization, similar to the effects of birth mode on human microbiomes. Specifically, our results suggest that either the egg jelly and/or capsules surrounding amphibian eggs are likely important sources for initial microbiome inoculation.",NA,NA
Warne2017,Karl,Will - same study,Web of Science,2017,"Warne, RW; Kirschman, L; Zeglin, L",Manipulation of Gut Microbiota Reveals Shifting Community Structure Shaped by Host Developmental Windows in Amphibian Larvae,2,Y,green frog,NA,NA,green frog,NA,Match,3,75-100,"
DNA was extracted from the dissected intestines following the Puregene DNA extraction protocol",Illumina MiSeq v4 16S rRNA,3,"For cross-species inoculation, intestinal tracts of donor species were dissected from three larvae, homogenized and added to the respective jars. Wood frog guts were obtained from larvae hatched and reared in the lab (i.e., the ontogenetic stock tank), while bullfrog guts were obtained from wild-caught larvae.",4,"We collected wood frog and green frog egg masses, as well as bullfrog larvae (as an inoculate source) from local wetlands, by permit from the Illinois Department of Natural Resources",2,ns,1,"First, we sterilized egg masses using a protocol adapted from Rendueles etal. (2012) designed for generating gnotobiotic zebrafish from eggs. Egg masses were separated into sterile centrifuge tubes with 40?mL",1,"Hatched, free-swimming larvae were allowed to feed on the inoculated egg jelly for 2 days, after which they were transferred to autoclaved, plastic containers with 20 L of carbon- and UV filtered water (four containers per treatment).",2,"We collected wood frog and green frog egg masses,
as well as bullfrog larvae (as an inoculate source)
from local wetlands, by permit from the Illinois",2,"Hatched, free-swimming larvae were allowed to feed on the inoculated egg jelly for 2 days,",2,"For controls, eggs from the focal species were homo-genized and added to each jar.",fig 1,Beta Diversity + relative abundance of phyla,none measured,NA,fig 1,"we demonstrated that microbiota can be transplanted among species and developmental stages. These results also demonstrated that microbial colonization at hatching is potentially formative for long term composition and function of amphibian gut microbiomes, suggesting that hatching may be a critical developmental window for colonization, similar to the effects of birth mode on human microbiomes. Specifically, our results suggest that either the egg jelly and/or capsules surrounding amphibian eggs are likely important sources for initial microbiome inoculation.",NA,NA
Warne2017,Karl,Will - same study - same study,Web of Science,2017,"Warne, RW; Kirschman, L; Zeglin, L",Manipulation of Gut Microbiota Reveals Shifting Community Structure Shaped by Host Developmental Windows in Amphibian Larvae,3,Y,bull frog,NA,NA,wood frog,NA,Mismatch,3,75-100,"
DNA was extracted from the dissected intestines following the Puregene DNA extraction protocol",Illumina MiSeq v4 16S rRNA,3,"For cross-species inoculation, intestinal tracts of donor species were dissected from three larvae, homogenized and added to the respective jars. Wood frog guts were obtained from larvae hatched and reared in the lab (i.e., the ontogenetic stock tank), while bullfrog guts were obtained from wild-caught larvae.",4,"We collected wood frog and green frog egg masses, as well as bullfrog larvae (as an inoculate source) from local wetlands, by permit from the Illinois Department of Natural Resources",2,ns,1,"First, we sterilized egg masses using a protocol adapted from Rendueles etal. (2012) designed for generating gnotobiotic zebrafish from eggs. Egg masses were separated into sterile centrifuge tubes with 40?mL",1,"Hatched, free-swimming larvae were allowed to feed on the inoculated egg jelly for 2 days, after which they were transferred to autoclaved, plastic containers with 20 L of carbon- and UV filtered water (four containers per treatment).",2,"We collected wood frog and green frog egg masses,
as well as bullfrog larvae (as an inoculate source)
from local wetlands, by permit from the Illinois",2,"Hatched, free-swimming larvae were allowed to feed on the inoculated egg jelly for 2 days,",2,"For controls, eggs from the focal species were homo-genized and added to each jar.",fig 2,Beta Diversity + relative abundance of phyla,none measured,NA,fig2,"we demonstrated that microbiota can be transplanted among species and developmental stages. These results also demonstrated that microbial colonization at hatching is potentially formative for long term composition and function of amphibian gut microbiomes, suggesting that hatching may be a critical developmental window for colonization, similar to the effects of birth mode on human microbiomes. Specifically, our results suggest that either the egg jelly and/or capsules surrounding amphibian eggs are likely important sources for initial microbiome inoculation.",NA,NA
Warne2017,Karl,Will - same study - same study - same study,Web of Science,2017,"Warne, RW; Kirschman, L; Zeglin, L",Manipulation of Gut Microbiota Reveals Shifting Community Structure Shaped by Host Developmental Windows in Amphibian Larvae,4,Y,wood frog,NA,NA,wood frog,NA,Match,3,75-100,"
DNA was extracted from the dissected intestines following the Puregene DNA extraction protocol",Illumina MiSeq v4 16S rRNA,3,"For cross-species inoculation, intestinal tracts of donor species were dissected from three larvae, homogenized and added to the respective jars. Wood frog guts were obtained from larvae hatched and reared in the lab (i.e., the ontogenetic stock tank), while bullfrog guts were obtained from wild-caught larvae.",4,"We collected wood frog and green frog egg masses, as well as bullfrog larvae (as an inoculate source) from local wetlands, by permit from the Illinois Department of Natural Resources",2,ns,1,"First, we sterilized egg masses using a protocol adapted from Rendueles etal. (2012) designed for generating gnotobiotic zebrafish from eggs. Egg masses were separated into sterile centrifuge tubes with 40?mL",1,"Hatched, free-swimming larvae were allowed to feed on the inoculated egg jelly for 2 days, after which they were transferred to autoclaved, plastic containers with 20 L of carbon- and UV filtered water (four containers per treatment).",2,"We collected wood frog and green frog egg masses,
as well as bullfrog larvae (as an inoculate source)
from local wetlands, by permit from the Illinois",2,"Hatched, free-swimming larvae were allowed to feed on the inoculated egg jelly for 2 days,",2,"For controls, eggs from the focal species were homo-genized and added to each jar.",fig 2,Beta Diversity + relative abundance of phyla,none measured,NA,fig 2,"we demonstrated that microbiota can be transplanted among species and developmental stages. These results also demonstrated that microbial colonization at hatching is potentially formative for long term composition and function of amphibian gut microbiomes, suggesting that hatching may be a critical developmental window for colonization, similar to the effects of birth mode on human microbiomes. Specifically, our results suggest that either the egg jelly and/or capsules surrounding amphibian eggs are likely important sources for initial microbiome inoculation.",NA,NA
Ericsson2017,Will,Chris,Web of Science,2017,"Ericsson, AC; Personett, AR; Turner, G; Dorfmeyer, RA; Franklin, CL",Variable Colonization after Reciprocal Fecal Microbiota Transfer between Mice with Low and High Richness Microbiota,1,N,mouse,NA,No,mouse,NA,Match,1,49,"DNA was extracted using a manual nucleic acid precipitationmethod, as previously described (Ericsson et al., 2015). Briefly,samples were placed in a 2 mL round-bottom tube containing800_L of lysis buffer and a sterile 0.5 cm diameter stainlesssteel bead, and homogenized with a TissueLyser II. Supernatantwas collected, supplemented with 200_L of 10M ammoniumacetate, and allowed to incubate on ice for 10 min. Followingcentrifugation at 16,000_g for 10 min at room temperature,supernatant was removed, mixed with an equivalent volumeof isopropanol, and allowed to incubate on ice for 30 min.Precipitated nucleic acids were then pelleted at 16,000_g for 15min at 4_C, rinsed twice with 70% ethanol, resuspended in Tris-EDTA, and then purified using DNeasy kits (Qiagen) accordingto manufacturerÕs instructions. DNA yields were measured usinga Qubit 2.0 fluorometer and Qubit dsDNA BR assay kits(Invitrogen) according to manufacturerÕs instructions.",Illumina MiSeq 16S v3-v4,1,"to serve as donormice, six age-matched female C57BL/6J and six C57BL/6Hsd",1,Donor mice were housed three mice per cage in conditions identical to those described above.,2,"o serve as donor mice, six age-matched female C57BL/6J and six C57BL/6Hsd mice were purchased",3,"to serve as FMT recipients, twenty-four C57BL/6J(The Jackson Laboratory, Bar Harbor, ME) and twenty-fiveC57BL/6Hsd (Envigo, Indianapolis, IN) 6 week-old, female micewere purchased and housed in groups of four mice per cage,in individually ventilated cages",1,"Mice were given irradiated, autoclaved 5,053mouse chow (LabDiet, St. Louis, MO) and autoclaved, acidifiedwaterad libitum. Recipient mice were placed in clean cages onthe first day of antibiotic administration, on the first day ofthe FMT, and at 2 week intervals thereafter.",2,"to serve as FMT recipients, twenty-four C57BL/6J(The Jackson Laboratory, Bar Harbor, ME) and twenty-fiveC57BL/6Hsd (Envigo, Indianapolis, IN) 6 week-old, female micewere purchased and housed in groups of four mice per cage,in individually ventilated cages",1,"Fresh Feces - inoculation was performed via gastric gavage of freshly prepared material on 3 consecutive days, beginning immediately after discontinuationof antibiotics and placement on untreated drinking water",2,"housed in groups of four mice per cage, in individually ventilated cages","Community coverage and richness, PCA plots","Alpha Diversity, Beta Diversity",Not Specified,NA,"PCA plots, fig 1-2",Test effects of host microbiome,"Number of Treatment Groups – 4 (X 2 for two vendor types of mice C57BL/6J, 22 mice, and C57BL/6Hsd, 25 mice. Donor Microbiome – 3, Recipient Microbiome – 2. Transpant method – 1 (changed CJGG)",NA
Ericsson2017,Will,Chris,Web of Science,2017,"Ericsson, AC; Personett, AR; Turner, G; Dorfmeyer, RA; Franklin, CL",Variable Colonization after Reciprocal Fecal Microbiota Transfer between Mice with Low and High Richness Microbiota,2,N,mouse,NA,No,mouse,NA,Match,1,49,"DNA was extracted using a manual nucleic acid precipitationmethod, as previously described (Ericsson et al., 2015). Briefly,samples were placed in a 2 mL round-bottom tube containing800_L of lysis buffer and a sterile 0.5 cm diameter stainlesssteel bead, and homogenized with a TissueLyser II. Supernatantwas collected, supplemented with 200_L of 10M ammoniumacetate, and allowed to incubate on ice for 10 min. Followingcentrifugation at 16,000_g for 10 min at room temperature,supernatant was removed, mixed with an equivalent volumeof isopropanol, and allowed to incubate on ice for 30 min.Precipitated nucleic acids were then pelleted at 16,000_g for 15min at 4_C, rinsed twice with 70% ethanol, resuspended in Tris-EDTA, and then purified using DNeasy kits (Qiagen) accordingto manufacturerÕs instructions. DNA yields were measured usinga Qubit 2.0 fluorometer and Qubit dsDNA BR assay kits(Invitrogen) according to manufacturerÕs instructions.",Illumina MiSeq 16S v3-v4,1,"to serve as donormice, six age-matched female C57BL/6J and six C57BL/6Hsd",1,Donor mice were housed three mice per cage in conditions identical to those described above.,2,"o serve as donor mice, six age-matched female C57BL/6J and six C57BL/6Hsd mice were purchased",3,"to serve as FMT recipients, twenty-four C57BL/6J(The Jackson Laboratory, Bar Harbor, ME) and twenty-fiveC57BL/6Hsd (Envigo, Indianapolis, IN) 6 week-old, female micewere purchased and housed in groups of four mice per cage,in individually ventilated cages",1,"Mice were given irradiated, autoclaved 5,053mouse chow (LabDiet, St. Louis, MO) and autoclaved, acidifiedwaterad libitum. Recipient mice were placed in clean cages onthe first day of antibiotic administration, on the first day ofthe FMT, and at 2 week intervals thereafter.",2,"to serve as FMT recipients, twenty-four C57BL/6J(The Jackson Laboratory, Bar Harbor, ME) and twenty-fiveC57BL/6Hsd (Envigo, Indianapolis, IN) 6 week-old, female micewere purchased and housed in groups of four mice per cage,in individually ventilated cages",1,"Frozen Feces - inoculationwas performed via gastric gavage of freshly prepared material on3 consecutive days, beginning immediately after discontinuationof antibiotics and placement on untreated drinking water",2,"housed in groups of four mice per cage, in individually ventilated cages","Community coverage and richness, PCA plots","Alpha Diversity, Beta Diversity",Not Specified,NA,"PCA plots, fig 1-2",Test effects of host microbiome,"Number of Treatment Groups – 4 (X 2 for two vendor types of mice C57BL/6J, 22 mice, and C57BL/6Hsd, 25 mice. Donor Microbiome – 3, Recipient Microbiome – 2. Transpant method – 1 (changed CJGG)",NA
Ericsson2017,Will,Chris,Web of Science,2017,"Ericsson, AC; Personett, AR; Turner, G; Dorfmeyer, RA; Franklin, CL",Variable Colonization after Reciprocal Fecal Microbiota Transfer between Mice with Low and High Richness Microbiota,3,N,mouse,NA,No,mouse,NA,Match,1,49,"DNA was extracted using a manual nucleic acid precipitationmethod, as previously described (Ericsson et al., 2015). Briefly,samples were placed in a 2 mL round-bottom tube containing800_L of lysis buffer and a sterile 0.5 cm diameter stainlesssteel bead, and homogenized with a TissueLyser II. Supernatantwas collected, supplemented with 200_L of 10M ammoniumacetate, and allowed to incubate on ice for 10 min. Followingcentrifugation at 16,000_g for 10 min at room temperature,supernatant was removed, mixed with an equivalent volumeof isopropanol, and allowed to incubate on ice for 30 min.Precipitated nucleic acids were then pelleted at 16,000_g for 15min at 4_C, rinsed twice with 70% ethanol, resuspended in Tris-EDTA, and then purified using DNeasy kits (Qiagen) accordingto manufacturerÕs instructions. DNA yields were measured usinga Qubit 2.0 fluorometer and Qubit dsDNA BR assay kits(Invitrogen) according to manufacturerÕs instructions.",Illumina MiSeq 16S v3-v4,1,"to serve as donormice, six age-matched female C57BL/6J and six C57BL/6Hsd",1,Donor mice were housed three mice per cage in conditions identical to those described above.,2,"o serve as donor mice, six age-matched female C57BL/6J and six C57BL/6Hsd mice were purchased",3,"to serve as FMT recipients, twenty-four C57BL/6J(The Jackson Laboratory, Bar Harbor, ME) and twenty-fiveC57BL/6Hsd (Envigo, Indianapolis, IN) 6 week-old, female micewere purchased and housed in groups of four mice per cage,in individually ventilated cages",1,"Mice were given irradiated, autoclaved 5,053mouse chow (LabDiet, St. Louis, MO) and autoclaved, acidifiedwaterad libitum. Recipient mice were placed in clean cages onthe first day of antibiotic administration, on the first day ofthe FMT, and at 2 week intervals thereafter.",2,"to serve as FMT recipients, twenty-four C57BL/6J(The Jackson Laboratory, Bar Harbor, ME) and twenty-fiveC57BL/6Hsd (Envigo, Indianapolis, IN) 6 week-old, female micewere purchased and housed in groups of four mice per cage,in individually ventilated cages",1,"Fresh cecal contents - inoculation was performed via gastric gavage of freshly prepared material on 3 consecutive days, beginning immediately after discontinuationof antibiotics and placement on untreated drinking water",2,"housed in groups of four mice per cage, in individually ventilated cages","Community coverage and richness, PCA plots","Alpha Diversity, Beta Diversity",Not Specified,NA,"PCA plots, fig 1-2",Test effects of host microbiome,"Number of Treatment Groups – 4 (X 2 for two vendor types of mice C57BL/6J, 22 mice, and C57BL/6Hsd, 25 mice. Donor Microbiome – 3, Recipient Microbiome – 2. Transpant method – 1 (changed CJGG)",NA
